    Value  Size Type    Bind   Vis      Ndx Name
 0020c209    82 FUNC    GLOBAL DEFAULT    5 msdc_dma_stop
 0020c25b   148 FUNC    GLOBAL DEFAULT    5 msdc_dma_wait_done
 0020c2f1   476 FUNC    GLOBAL DEFAULT    5 msdc_dma_transfer
 0020c4cd    86 FUNC    GLOBAL DEFAULT    5 msdc_dma_bread
 0020c523    90 FUNC    GLOBAL DEFAULT    5 msdc_dma_bwrite
 0020c57d     2 FUNC    GLOBAL DEFAULT    5 msdc_irq_init
 0020c581   100 FUNC    GLOBAL DEFAULT    5 msdc_intr_wait
 0020c5e5    50 FUNC    GLOBAL DEFAULT    5 msdc_uffs
 0020c619    68 FUNC    GLOBAL DEFAULT    5 mt6311_write_byte
 0020c65d    56 FUNC    GLOBAL DEFAULT    5 mt6311_read_byte
 0020c695    38 FUNC    GLOBAL DEFAULT    5 mt6311_read_interface
 0020c6bb    60 FUNC    GLOBAL DEFAULT    5 mt6311_config_interface
 0020c6f7     2 FUNC    GLOBAL DEFAULT    5 mt6311_dump_register
 0020c6f9    54 FUNC    GLOBAL DEFAULT    5 mt6311_hw_init
 0020c72f    28 FUNC    GLOBAL DEFAULT    5 mt6311_get_cid
 0020c74b    28 FUNC    GLOBAL DEFAULT    5 mt6311_get_swcid
 0020c769    36 FUNC    GLOBAL DEFAULT    5 update_mt6311_chip_id
 0020c78d    32 FUNC    GLOBAL DEFAULT    5 mt6311_get_chip_id
 0020c7ad    64 FUNC    GLOBAL DEFAULT    5 mt6311_hw_component_detec
 0020c7ed     2 FUNC    GLOBAL DEFAULT    5 mt6311_hw_reload_dump_log
 0020c7ef   126 FUNC    GLOBAL DEFAULT    5 mt6311_hw_reload
 0020c86d    56 FUNC    GLOBAL DEFAULT    5 mt6311_driver_probe
 0020c8a5    60 FUNC    GLOBAL DEFAULT    5 mt_set_ptp_info
 0020c8e1   668 FUNC    GLOBAL DEFAULT    5 ptp_init
 0020cb7d   104 FUNC    GLOBAL DEFAULT    5 part_init
 0020cbe5    96 FUNC    GLOBAL DEFAULT    5 get_part
 0020cc45     4 FUNC    GLOBAL DEFAULT    5 part_get
 0020cc49     2 FUNC    GLOBAL DEFAULT    5 put_part
 0020cc4d    40 FUNC    GLOBAL DEFAULT    5 get_part_info
 0020cc75   276 FUNC    GLOBAL DEFAULT    5 part_load
 0020cd89    52 FUNC    GLOBAL DEFAULT    5 part_load_raw_part
 0020cdbd    48 FUNC    GLOBAL DEFAULT    5 part_dump
 0020cded    20 FUNC    GLOBAL DEFAULT    5 platform_core_handler
 0020ce01     4 FUNC    GLOBAL DEFAULT    5 platform_vusb_on
 0020ce05  1216 FUNC    GLOBAL DEFAULT    5 platform_set_boot_args_by
 0020d2c5   420 FUNC    GLOBAL DEFAULT    5 platform_parse_bootopt
 0020d469   112 FUNC    GLOBAL DEFAULT    5 platform_set_boot_args
 0020d4d9   124 FUNC    GLOBAL DEFAULT    5 platform_set_dl_boot_args
 0020d555    14 FUNC    GLOBAL DEFAULT    5 platform_wdt_all_kick
 0020d563     4 FUNC    GLOBAL DEFAULT    5 platform_wdt_kick
 0020d569    76 FUNC    GLOBAL DEFAULT    5 platform_safe_mode
 0020d5b5    52 FUNC    GLOBAL DEFAULT    5 platform_emergency_downlo
 0020d5e9    30 FUNC    GLOBAL DEFAULT    5 platform_get_mcp_id
 0020d607     4 FUNC    GLOBAL DEFAULT    5 platform_set_chrg_cur
 0020d60b    30 FUNC    GLOBAL DEFAULT    5 usb_accessory_in
 0020d629    80 FUNC    GLOBAL DEFAULT    5 usb_cable_in
 0020d679     8 FUNC    GLOBAL DEFAULT    5 mt_get_chip_hw_code
 0020d681    16 FUNC    GLOBAL DEFAULT    5 mt_get_chip_sw_ver
 0020d691     4 FUNC    GLOBAL DEFAULT    5 platform_com_wait_forever
 0020d695     2 FUNC    GLOBAL DEFAULT    5 check_charger_boost_statu
 0020d699   288 FUNC    GLOBAL DEFAULT    5 platform_pre_init
 0020d7b9   492 FUNC    GLOBAL DEFAULT    5 platform_init
 0020d9a5   108 FUNC    GLOBAL DEFAULT    5 platform_post_init
 0020da11    92 FUNC    GLOBAL DEFAULT    5 platform_error_handler
 0020da6d    32 FUNC    GLOBAL DEFAULT    5 platform_assert
 0020da8d   128 FUNC    LOCAL  DEFAULT    5 mt_get_mem_freq
 0020db0d   924 FUNC    GLOBAL DEFAULT    5 mt_mempll_init
 0020dea9   256 FUNC    GLOBAL DEFAULT    5 mt_pll_post_init
 0020dfa9   696 FUNC    GLOBAL DEFAULT    5 mt_pll_init
 0020e261    40 FUNC    GLOBAL DEFAULT    5 pmic_read_interface
 0020e289    20 FUNC    GLOBAL DEFAULT    5 pmic_get_register_value
 0020e29d    60 FUNC    GLOBAL DEFAULT    5 pmic_config_interface
 0020e2d9    10 FUNC    GLOBAL DEFAULT    5 upmu_set_reg_value
 0020e2e5    20 FUNC    GLOBAL DEFAULT    5 hw_charger_type_detection
 0020e2f9    68 FUNC    GLOBAL DEFAULT    5 mt_charger_type_detection
 0020e33d    30 FUNC    GLOBAL DEFAULT    5 get_MT6328_PMIC_chip_vers
 0020e35d    64 FUNC    GLOBAL DEFAULT    5 pmic_detect_powerkey
 0020e39d    60 FUNC    GLOBAL DEFAULT    5 pmic_IsUsbCableIn
 0020e3d9    12 FUNC    GLOBAL DEFAULT    5 pmic_IsVbatDrop
 0020e3e5     2 FUNC    GLOBAL DEFAULT    5 hw_set_cc
 0020e3e9    20 FUNC    GLOBAL DEFAULT    5 hw_check_battery
 0020e3fd    48 FUNC    GLOBAL DEFAULT    5 PMIC_enable_long_press_re
 0020e42d    14 FUNC    GLOBAL DEFAULT    5 PMIC_VUSB_EN
 0020e43b     2 FUNC    GLOBAL DEFAULT    5 pl_charging
 0020e43d     2 FUNC    GLOBAL DEFAULT    5 pl_kick_chr_wdt
 0020e43f     2 FUNC    GLOBAL DEFAULT    5 pl_close_pre_chr_led
 0020e441    26 FUNC    GLOBAL DEFAULT    5 upmu_get_reg_value
 0020e45b   120 FUNC    GLOBAL DEFAULT    5 pmic_read_efuse
 0020e4d5  3248 FUNC    GLOBAL DEFAULT    5 pmic_6328_efuse_managemen
 0020f185    32 FUNC    GLOBAL DEFAULT    5 upmu_set_rg_vio18_184
 0020f1a5    48 FUNC    GLOBAL DEFAULT    5 pmic_disable_usbdl_wo_bat
 0020f1d5   364 FUNC    GLOBAL DEFAULT    5 PMIC_IMM_GetOneChannelVal
 0020f341    10 FUNC    GLOBAL DEFAULT    5 get_bat_sense_volt
 0020f34b    10 FUNC    GLOBAL DEFAULT    5 get_i_sense_volt
 0020f355    26 FUNC    GLOBAL DEFAULT    5 get_charger_volt
 0020f36f    30 FUNC    GLOBAL DEFAULT    5 upmu_is_chr_det
 0020f38d    54 FUNC    GLOBAL DEFAULT    5 runyee_fan5405_pl_init
 0020f3c3    78 FUNC    GLOBAL DEFAULT    5 kick_charger_wdt
 0020f411   106 FUNC    GLOBAL DEFAULT    5 pchr_turn_on_charging
 0020f47b    32 FUNC    GLOBAL DEFAULT    5 get_charging_current
 0020f49d   180 FUNC    GLOBAL DEFAULT    5 pl_check_bat_protect_stat
 0020f551   280 FUNC    GLOBAL DEFAULT    5 pmic_init
 0020f669    10 FUNC    LOCAL  DEFAULT    5 wait_for_fsm_idle
 0020f673    12 FUNC    LOCAL  DEFAULT    5 wait_for_fsm_vldclr
 0020f67f    10 FUNC    LOCAL  DEFAULT    5 wait_for_sync
 0020f689    20 FUNC    LOCAL  DEFAULT    5 wait_for_idle_and_sync
 0020f69d     8 FUNC    LOCAL  DEFAULT    5 wait_for_cipher_ready
 0020f6a5    64 FUNC    LOCAL  DEFAULT    5 wait_for_state_ready_init
 0020f6e5   152 FUNC    LOCAL  DEFAULT    5 _pwrap_wacs2_nochk
 0020f77d    14 FUNC    LOCAL  DEFAULT    5 pwrap_write_nochk
 0020f78b    14 FUNC    LOCAL  DEFAULT    5 pwrap_read_nochk
 0020f799    20 FUNC    GLOBAL DEFAULT    5 pwrap_dump_ap_register
 0020f7ad   244 FUNC    GLOBAL DEFAULT    5 pwrap_wacs2
 0020f8a1    14 FUNC    GLOBAL DEFAULT    5 pwrap_read
 0020f8af    38 FUNC    LOCAL  DEFAULT    5 pwrap_read_test
 0020f8d5    14 FUNC    GLOBAL DEFAULT    5 pwrap_write
 0020f8e3    58 FUNC    LOCAL  DEFAULT    5 pwrap_write_test
 0020f91d  1916 FUNC    GLOBAL DEFAULT    5 pwrap_init
 00210099    18 FUNC    GLOBAL DEFAULT    5 pwrap_init_preloader
 002100ad    80 FUNC    LOCAL  DEFAULT    5 outchar
 002100fd    42 FUNC    LOCAL  DEFAULT    5 outdec
 00210127    32 FUNC    LOCAL  DEFAULT    5 outstr
 00210147    48 FUNC    LOCAL  DEFAULT    5 outhex
 00210179   260 FUNC    GLOBAL DEFAULT    5 log_buf_ctrl
 0021027d    76 FUNC    GLOBAL DEFAULT    5 log_ctrl
 002102c9    20 FUNC    GLOBAL DEFAULT    5 log_status
 002102dd   272 FUNC    GLOBAL DEFAULT    5 vprint
 002103ed    26 FUNC    GLOBAL DEFAULT    5 print
 00210407    18 FUNC    GLOBAL DEFAULT    5 dbg_print
 00210419   160 FUNC    GLOBAL DEFAULT    5 ram_console_init
 002104b9    40 FUNC    GLOBAL DEFAULT    5 ram_console_reboot_reason
 002104e1    46 FUNC    LOCAL  DEFAULT    5 rtc_xosc_check_clock
 0021050f    56 FUNC    LOCAL  DEFAULT    5 rtc_eosc_check_clock
 00210547   124 FUNC    LOCAL  DEFAULT    5 rtc_mktime
 002105c3    24 FUNC    LOCAL  DEFAULT    5 RTC_Read
 002105db    52 FUNC    LOCAL  DEFAULT    5 Write_trigger
 0021060f    40 FUNC    LOCAL  DEFAULT    5 rtc_gpio_init
 00210637    50 FUNC    LOCAL  DEFAULT    5 rtc_get_xosc_mode
 00210669    58 FUNC    LOCAL  DEFAULT    5 rtc_xosc_write
 002106a3   230 FUNC    LOCAL  DEFAULT    5 get_frequency_meter
 00210789   166 FUNC    LOCAL  DEFAULT    5 eosc_cali
 0021082f   162 FUNC    LOCAL  DEFAULT    5 rtc_measure_four_clock
 002108d1    44 FUNC    LOCAL  DEFAULT    5 Writeif_unlock
 002108fd    98 FUNC    LOCAL  DEFAULT    5 rtc_2sec_stat_clear
 0021095f   276 FUNC    LOCAL  DEFAULT    5 rtc_android_init
 00210a73   206 FUNC    LOCAL  DEFAULT    5 rtc_lpd_init
 00210b41   156 FUNC    LOCAL  DEFAULT    5 rtc_frequency_meter_check
 00210bdd   134 FUNC    LOCAL  DEFAULT    5 rtc_first_boot_init
 00210c65   188 FUNC    LOCAL  DEFAULT    5 rtc_recovery_flow
 00210d21    32 FUNC    GLOBAL DEFAULT    5 rtc_mark_bypass_pwrkey
 00210d41    36 FUNC    GLOBAL DEFAULT    5 pl_power_off
 00210d65   156 FUNC    GLOBAL DEFAULT    5 rtc_save_2sec_stat
 00210e01  1148 FUNC    GLOBAL DEFAULT    5 rtc_boot_check
 0021127d    12 FUNC    GLOBAL DEFAULT    5 rtc_2sec_reboot_check
 00211289    36 FUNC    GLOBAL DEFAULT    5 rtc_enable_2sec_reboot
 002112ad    52 FUNC    GLOBAL DEFAULT    5 rtc_bbpu_power_on
 002112e1    76 FUNC    GLOBAL DEFAULT    5 sec_cfg_load
 0021132d    64 FUNC    GLOBAL DEFAULT    5 sec_malloc_buf_reset
 0021136d   268 FUNC    GLOBAL DEFAULT    5 sec_lib_init
 00211479    80 FUNC    GLOBAL DEFAULT    5 is_BR_cmd_disabled
 002114c9    16 FUNC    GLOBAL DEFAULT    5 sec_auth
 002114d9    56 FUNC    GLOBAL DEFAULT    5 da_auth_init
 00211511    48 FUNC    GLOBAL DEFAULT    5 sec_boot_img_check
 00211541   220 FUNC    GLOBAL DEFAULT    5 sec_boot_check
 0021161d     2 FUNC    GLOBAL DEFAULT    5 sec_ctrl_init
 0021161f     2 FUNC    GLOBAL DEFAULT    5 sec_flashtool_cfg_init
 00211621   128 FUNC    GLOBAL DEFAULT    5 sec_key_init
 002116a1    30 FUNC    GLOBAL DEFAULT    5 is_region_overlap
 002116c1    52 FUNC    GLOBAL DEFAULT    5 blacklist_check
 002116f5   240 FUNC    GLOBAL DEFAULT    5 sec_region_check
 002117e5     2 FUNC    GLOBAL DEFAULT    5 sec_rom_info_init
 002117e9    76 FUNC    GLOBAL DEFAULT    5 factory_mode_valid
 00211835   296 FUNC    GLOBAL DEFAULT    5 sec_lib_read_secro
 0021195d   320 FUNC    GLOBAL DEFAULT    5 sec2plname
 00211a9d    28 FUNC    GLOBAL DEFAULT    5 sec_util_get_secro_buf
 00211ab9    24 FUNC    GLOBAL DEFAULT    5 sec_util_get_img_buf
 00211ad1    20 FUNC    GLOBAL DEFAULT    5 sec_util_get_working_buf
 00211ae5   184 FUNC    GLOBAL DEFAULT    5 sec_util_read_image
 00211b9d   264 FUNC    GLOBAL DEFAULT    5 sec_util_brom_download_re
 00211ca5   256 FUNC    GLOBAL DEFAULT    5 spm_mtcmos_ctrl_cpu0
 00211da5   256 FUNC    GLOBAL DEFAULT    5 spm_mtcmos_ctrl_cpu1
 00211ea5   256 FUNC    GLOBAL DEFAULT    5 spm_mtcmos_ctrl_cpu2
 00211fa5   256 FUNC    GLOBAL DEFAULT    5 spm_mtcmos_ctrl_cpu3
 002120a5    24 FUNC    GLOBAL DEFAULT    5 spm_mtcmos_ctrl_cpu
 002120bd   292 FUNC    GLOBAL DEFAULT    5 spm_mtcmos_ctrl_cpusys1
 002121e1   344 FUNC    GLOBAL DEFAULT    5 spm_mtcmos_ctrl_cpu4
 00212339   348 FUNC    GLOBAL DEFAULT    5 spm_mtcmos_ctrl_cpu5
 00212495   348 FUNC    GLOBAL DEFAULT    5 spm_mtcmos_ctrl_cpu6
 002125f1   348 FUNC    GLOBAL DEFAULT    5 spm_mtcmos_ctrl_cpu7
 0021274d   260 FUNC    GLOBAL DEFAULT    5 spm_mtcmos_ctrl_disp
 00212851    22 FUNC    GLOBAL DEFAULT    5 strchr
 00212869    88 FUNC    GLOBAL DEFAULT    5 atoi
 002128c1    16 FUNC    GLOBAL DEFAULT    5 strlen
 002128d1    26 FUNC    GLOBAL DEFAULT    5 strcmp
 002128eb    34 FUNC    GLOBAL DEFAULT    5 strncmp
 0021290d    16 FUNC    GLOBAL DEFAULT    5 memset
 0021291d    18 FUNC    GLOBAL DEFAULT    5 memcpy
 0021292f    28 FUNC    GLOBAL DEFAULT    5 memcmp
 0021294b    40 FUNC    GLOBAL DEFAULT    5 memmove
 00212973     6 FUNC    GLOBAL DEFAULT    5 dsb
 00212979     6 FUNC    GLOBAL DEFAULT    5 mt_reg_sync_writel
 0021297f     8 FUNC    GLOBAL DEFAULT    5 mt_reg_sync_writeb
 00212989    12 FUNC    GLOBAL DEFAULT    5 gpt4_get_current_tick
 00212995    34 FUNC    GLOBAL DEFAULT    5 gpt4_timeout_tick
 002129b9    24 FUNC    GLOBAL DEFAULT    5 gpt4_time2tick_us
 002129d1    28 FUNC    GLOBAL DEFAULT    5 gpt_busy_wait_us
 002129ed    68 FUNC    GLOBAL DEFAULT    5 gpt_busy_wait_ms
 00212a31   136 FUNC    GLOBAL DEFAULT    5 get_timer
 00212ab9     4 FUNC    GLOBAL DEFAULT    5 mdelay
 00212abd     4 FUNC    GLOBAL DEFAULT    5 udelay
 00212ac1    68 FUNC    GLOBAL DEFAULT    5 mtk_timer_init
 00212b05   344 FUNC    GLOBAL DEFAULT    5 emi_mpu_set_region_protec
 00212c5d   112 FUNC    GLOBAL DEFAULT    5 tz_emi_mpu_init
 00212ccd    16 FUNC    GLOBAL DEFAULT    5 tee_get_secmem_start
 00212cdd     8 FUNC    GLOBAL DEFAULT    5 tee_get_secmem_size
 00212ce5   160 FUNC    GLOBAL DEFAULT    5 tee_verify_image
 00212d85     4 FUNC    GLOBAL DEFAULT    5 tee_get_load_addr
 00212d89   104 FUNC    GLOBAL DEFAULT    5 trustzone_pre_init
 00212df1   236 FUNC    GLOBAL DEFAULT    5 trustzone_post_init
 00212edd   132 FUNC    GLOBAL DEFAULT    5 trustzone_jump
 00212f61     4 FUNC    GLOBAL DEFAULT    5 tz_sec_mem_init
 00212f65   188 FUNC    GLOBAL DEFAULT    5 tz_sram_sec_init
 00213021    88 FUNC    GLOBAL DEFAULT    5 mtk_uart_power_on
 00213079   120 FUNC    GLOBAL DEFAULT    5 serial_setbrg
 002130f1    20 FUNC    GLOBAL DEFAULT    5 mtk_serial_set_current_ua
 00213105   340 FUNC    GLOBAL DEFAULT    5 mtk_uart_init
 00213259    48 FUNC    GLOBAL DEFAULT    5 PutUARTByte
 00213289    92 FUNC    GLOBAL DEFAULT    5 GetUARTBytes
 002132e5   172 FUNC    LOCAL  DEFAULT    5 mt_read_fifo
 00213391   108 FUNC    LOCAL  DEFAULT    5 mt_write_fifo
 002133fd    60 FUNC    LOCAL  DEFAULT    5 mt_find_ep
 00213439    80 FUNC    LOCAL  DEFAULT    5 mt_udc_flush_fifo
 00213489   120 FUNC    LOCAL  DEFAULT    5 mt_udc_ep0_write
 00213501   160 FUNC    LOCAL  DEFAULT    5 mt_udc_reset
 002135a1    46 FUNC    LOCAL  DEFAULT    5 copy_desc
 002135d1  1308 FUNC    GLOBAL DEFAULT    5 mt_udc_irq
 00213aed    60 FUNC    GLOBAL DEFAULT    5 mt_ep_write
 00213b29    44 FUNC    GLOBAL DEFAULT    5 mt_ep_busy
 00213b55   364 FUNC    GLOBAL DEFAULT    5 mt_setup_ep
 00213cc1    16 FUNC    GLOBAL DEFAULT    5 mt_usb_connect_internal
 00213cd1    16 FUNC    GLOBAL DEFAULT    5 mt_usb_disconnect_interna
 00213ce1    60 FUNC    GLOBAL DEFAULT    5 udc_enable
 00213d1d    14 FUNC    GLOBAL DEFAULT    5 usb_service_offline
 00213d2d   136 FUNC    GLOBAL DEFAULT    5 mt_usb_phy_poweron
 00213db5   152 FUNC    GLOBAL DEFAULT    5 mt_usb_phy_savecurrent
 00213e4d   132 FUNC    GLOBAL DEFAULT    5 mt_usb_phy_recover
 00213ed1    32 FUNC    LOCAL  DEFAULT    5 str2wide
 00213ef1    44 FUNC    LOCAL  DEFAULT    5 ep_to_buf.constprop.0
 00213f1d    80 FUNC    GLOBAL DEFAULT    5 usb_alloc_urb
 00213f6d   764 FUNC    GLOBAL DEFAULT    5 usbdl_init
 00214269    20 FUNC    GLOBAL DEFAULT    5 tool_is_present
 0021427d    20 FUNC    GLOBAL DEFAULT    5 tool_state_update
 00214291    20 FUNC    GLOBAL DEFAULT    5 usbdl_configured
 002142a5    92 FUNC    GLOBAL DEFAULT    5 enable_highspeed
 00214301    68 FUNC    GLOBAL DEFAULT    5 config_usbtty
 00214345   108 FUNC    GLOBAL DEFAULT    5 service_interrupts
 002143b1   128 FUNC    GLOBAL DEFAULT    5 usbdl_poll
 00214431    76 FUNC    GLOBAL DEFAULT    5 usbdl_flush
 0021447d     4 FUNC    GLOBAL DEFAULT    5 mt_usbtty_flush
 00214481    96 FUNC    GLOBAL DEFAULT    5 mt_usbtty_getcn
 002144e1   108 FUNC    GLOBAL DEFAULT    5 mt_usbtty_putcn
 0021454d    88 FUNC    GLOBAL DEFAULT    5 mt_usbtty_puts
 002145a5    44 FUNC    GLOBAL DEFAULT    5 mt_usbtty_query_data_size
 002145d1    36 FUNC    LOCAL  DEFAULT    5 mtk_wdt_check_status
 002145f5    76 FUNC    LOCAL  DEFAULT    5 mtk_wdt_reset
 00214641    16 FUNC    GLOBAL DEFAULT    5 mtk_wdt_restart
 00214651    68 FUNC    GLOBAL DEFAULT    5 mtk_wdt_boot_check
 00214695   740 FUNC    GLOBAL DEFAULT    5 mtk_wdt_init
 00214979    24 FUNC    GLOBAL DEFAULT    5 mtk_arch_reset
 00214991   124 FUNC    GLOBAL DEFAULT    5 rgu_dram_reserved
 00214a0d    16 FUNC    GLOBAL DEFAULT    5 rgu_is_reserve_ddr_enable
 00214a1d    48 FUNC    GLOBAL DEFAULT    5 rgu_is_dram_slf
 00214a4d    88 FUNC    GLOBAL DEFAULT    5 rgu_release_rg_dramc_conf
 00214aa5    88 FUNC    GLOBAL DEFAULT    5 rgu_release_rg_dramc_iso
 00214afd    96 FUNC    GLOBAL DEFAULT    5 rgu_release_rg_dramc_sref
 00214b5d    48 FUNC    GLOBAL DEFAULT    5 rgu_is_reserve_ddr_mode_s
 00214b8d   148 FUNC    GLOBAL DEFAULT    5 seclib_sec_boot_enabled
 00214c21    68 FUNC    GLOBAL DEFAULT    5 seclib_set_pubk
 00214c65     2 FUNC    GLOBAL DEFAULT    5 seclib_cfg_print_status
 00214c69   292 FUNC    GLOBAL DEFAULT    5 seclib_data_auth
 00214d8d   768 FUNC    GLOBAL DEFAULT    5 seclib_image_check
 0021508d    92 FUNC    GLOBAL DEFAULT    5 seclib_sec_usbdl_enabled
 002150e9    72 FUNC    GLOBAL DEFAULT    5 seclib_read_sbc_key
 00215131    64 FUNC    GLOBAL DEFAULT    5 seclib_read_sec_cmd_cfg
 00215171    28 FUNC    GLOBAL DEFAULT    5 seclib_sej_init
 0021518d   128 FUNC    GLOBAL DEFAULT    5 seclib_cust_init
 0021520d     2 FUNC    GLOBAL DEFAULT    5 seclib_check
 00215211    92 FUNC    GLOBAL DEFAULT    5 seclib_img_auth_init
 0021526d   412 FUNC    GLOBAL DEFAULT    5 seclib_img_auth_load_sig
 00215409   164 FUNC    GLOBAL DEFAULT    5 seclib_set_img_hdr_ver
 002154ad   264 FUNC    GLOBAL DEFAULT    5 seclib_secroimg_read
 002155b5    72 FUNC    GLOBAL DEFAULT    5 sp_read_swotp
 002155fd   124 FUNC    GLOBAL DEFAULT    5 sp_sej_dec
 00215679    60 FUNC    GLOBAL DEFAULT    5 sp_sej_ac_init
 002156b5    14 FUNC    GLOBAL DEFAULT    5 sp_sej_ac_run
 002156c3    10 FUNC    GLOBAL DEFAULT    5 sp_sej_ac_done
 002156cd    84 FUNC    GLOBAL DEFAULT    5 sp_sej_init
 00215721     4 FUNC    GLOBAL DEFAULT    5 sp_check_platform
 00215725     6 FUNC    GLOBAL DEFAULT    5 get_sec_cfg_cnt_size
 0021572b    34 FUNC    GLOBAL DEFAULT    5 rev_buf
 0021574d    16 FUNC    LOCAL  DEFAULT    5 sha256_compress
 0021575d    88 FUNC    GLOBAL DEFAULT    5 sha256_init
 002157b5   176 FUNC    GLOBAL DEFAULT    5 sha256_process
 00215865   244 FUNC    GLOBAL DEFAULT    5 sha256_done
 00215959    52 FUNC    GLOBAL DEFAULT    5 sha256
 0021598d    20 FUNC    LOCAL  DEFAULT    5 mpSetEqual
 002159a1   128 FUNC    LOCAL  DEFAULT    5 mpShiftRight
 00215a21   144 FUNC    LOCAL  DEFAULT    5 mpShiftLeft
 00215ab1   876 FUNC    LOCAL  DEFAULT    5 modMultTemp.constprop.2
 00215e1d   264 FUNC    GLOBAL DEFAULT    5 RSADecryption65537
 00215f25   170 FUNC    GLOBAL DEFAULT    5 pkcs_1_mgf1_sha256
 00215fcf   722 FUNC    GLOBAL DEFAULT    5 pkcs_1_pss_decode_sha256
 002162a1     6 FUNC    GLOBAL DEFAULT    5 get_seccfg_cipher_len
 002162a9   136 FUNC    GLOBAL DEFAULT    5 malloc
 00216331     2 FUNC    GLOBAL DEFAULT    5 free
 00216335    68 FUNC    GLOBAL DEFAULT    5 seclib_sbc_enabled
 00216379    68 FUNC    GLOBAL DEFAULT    5 seclib_daa_enabled
 002163bd    68 FUNC    GLOBAL DEFAULT    5 seclib_sla_enabled
 00216401    16 FUNC    GLOBAL DEFAULT    5 seclib_3g_disable
 00216411    64 FUNC    GLOBAL DEFAULT    5 seclib_get_devinfo_with_i
 00216451    24 FUNC    GLOBAL DEFAULT    5 gcpu_hw_reset
 00216469    80 FUNC    GLOBAL DEFAULT    5 gcpu_cmd
 002164b9    36 FUNC    GLOBAL DEFAULT    5 gcpu_isr
 002164dd   128 FUNC    GLOBAL DEFAULT    5 gcpu_init
 0021655d    36 FUNC    GLOBAL DEFAULT    5 gcpu_uninit
 00216581    24 FUNC    GLOBAL DEFAULT    5 crypto_hw_secure
 00216599   260 FUNC    GLOBAL DEFAULT    5 crypto_hw_sha256
 0021669d    12 FUNC    GLOBAL DEFAULT    5 seclib_brom_meta_mode
 002166a9   356 FUNC    GLOBAL DEFAULT    5 trustonic_tee_verify
 0021680d     4 FUNC    GLOBAL DEFAULT    5 trustonic_tee_decrypt
 00216811    60 FUNC    GLOBAL DEFAULT    5 seclib_region_check
 0021684d   264 FUNC    GLOBAL DEFAULT    5 SEJ_V3_Init
 00216955   136 FUNC    GLOBAL DEFAULT    5 SEJ_V3_Run
 002169dd    36 FUNC    GLOBAL DEFAULT    5 SEJ_V3_Terminate
 00216a01     4 FUNC    GLOBAL DEFAULT    5 sej_set_clk
 00216a05    24 FUNC    GLOBAL DEFAULT    5 sej_set_iv
 00216a1d    60 FUNC    GLOBAL DEFAULT    5 sej_set_mode
 00216a59   212 FUNC    GLOBAL DEFAULT    5 sej_set_key
 00216b2d   188 FUNC    GLOBAL DEFAULT    5 sej_do_aes
 00216be9   108 FUNC    GLOBAL DEFAULT    5 seclib_get_random_id
 00216c55    20 FUNC    GLOBAL DEFAULT    5 sej_deinit
 00216c69   120 FUNC    GLOBAL DEFAULT    5 sej_jtag_disable
 00216ce1   112 FUNC    GLOBAL DEFAULT    5 sej_jtag_lock
 00216d51    84 FUNC    GLOBAL DEFAULT    5 sej_jtag_control
 00216da5   224 FUNC    GLOBAL DEFAULT    5 sej_init
 00216e85     2 FUNC    GLOBAL DEFAULT    5 vHexDumpBuf
 00216e89   144 FUNC    GLOBAL DEFAULT    5 verify_mtee_img_hdr
 00216f19    24 FUNC    GLOBAL DEFAULT    5 get_ul
 00216f31  3944 FUNC    LOCAL  DEFAULT    5 hash_process
 00217e99    18 FUNC    GLOBAL DEFAULT    5 set_ul
 00217ead    44 FUNC    GLOBAL DEFAULT    5 hash_starts
 00217ed9   114 FUNC    GLOBAL DEFAULT    5 hash_update
 00217f4d   100 FUNC    GLOBAL DEFAULT    5 hash_finish
 00217fb1    50 FUNC    GLOBAL DEFAULT    5 sha1
 0021a3de    16 OBJECT  LOCAL  DEFAULT    6 tran_mant
 0021a3f0    32 OBJECT  LOCAL  DEFAULT    6 tran_exp
 0021a410     4 OBJECT  LOCAL  DEFAULT    6 write_data_edge.5355
 0021a414    36 OBJECT  LOCAL  DEFAULT    6 msdc_rsp
 0021a438     8 OBJECT  LOCAL  DEFAULT    6 read_data_edge.5354
 0021a440     4 OBJECT  GLOBAL DEFAULT    6 sys_stack_sz
 0021a444    16 OBJECT  LOCAL  DEFAULT    6 mt6328_VIO_1_84
 0021a454    64 OBJECT  LOCAL  DEFAULT    6 mt6328_ovp_trim
 0021a494    11 OBJECT  LOCAL  DEFAULT    6 digits.4652
 0021a49f   256 OBJECT  LOCAL  DEFAULT    6 tee_img_vfy_pubk
 0021a59f    26 OBJECT  LOCAL  DEFAULT    6 __func__.4782
 0021a5b9    13 OBJECT  LOCAL  DEFAULT    6 __func__.4739
 0021a5c6    18 OBJECT  LOCAL  DEFAULT    6 __func__.4749
 0021a5d8    25 OBJECT  LOCAL  DEFAULT    6 __func__.4773
 0021a5f1    30 OBJECT  LOCAL  DEFAULT    6 __func__.4764
 0021a60f    17 OBJECT  LOCAL  DEFAULT    6 __FUNCTION__.3846
 0021a620    48 OBJECT  LOCAL  DEFAULT    6 g_AC_FIXED_PATTERN
 0021a650    64 OBJECT  LOCAL  DEFAULT    6 padding
 0021a6d8    16 OBJECT  LOCAL  DEFAULT    7 clk_buf_swctrl
